"","FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","COUNTY_NAME","lat","long","ELEV_IN_M","ELEV_IN_FT","classID","ID","percentM","percentF","Group"
"829694",903908,"Blackwater Canyon","Valley","NM","Lincoln",33.5003703,-104.9352548,1348,4423,2,903908,31.8656882366022,31.8693235732683,2
"278707",317580,"Mack Miller Park","Park","GA","Harris",32.7709658,-84.8763202,224,735,3,317580,6.87124749833222,6.8727124847499,1
"853076",927569,"05234 Water Well","Well","NM","Quay",35.069782,-103.0613355,1229,4032,14,927569,29.2194796531021,29.219194794632,2
"142164",178734,"Columbine Mine","Mine","CO","Weld",40.0252622,-105.0272033,1580,5184,9,178734,37.0246831220814,37.0272468483123,1
"239049",277388,"Kern Front Oil Field","Oilfield","CA","Kern",35.4882896,-119.0495454,237,778,59,277388,7.16032910829442,7.16415887217026,1
"396381",444911,"Trinity Temple Church","Church","IN","Howard",40.4133711,-86.1283248,264,866,38,444911,7.76072937513898,7.76060729293751,1
"596979",658373,"South Kawishiwi River Camp","Locale","MN","Lake",47.8162944,-91.7318112,442,1450,4,658373,11.7189237269291,11.7188559034838,2
"845086",919463,"10 Water Well","Well","NM","Bernalillo",35.1705997,-106.3408577,2072,6798,14,919463,47.9653102068045,47.9666531110207,2
"483766",543655,"Seven Runs Crossing","Locale","LA","Caldwell",32.1979328,-92.2670844,36,118,4,543655,2.69068267734045,2.69079571641589,1
"963889",1043293,"Midland School","School","OH","Clinton",39.4436726,-83.8224262,314,1030,7,1043293,8.87258172114743,8.87217025891284,2
"468769",518039,"WQQB-TV (Bowling Green)","Tower","KY","Warren",37.0361568,-86.1722052,290,951,46,518039,8.33889259506338,8.33672224481497,1
"251150",289535,"Red Beach Lake","Lake","FL","Highlands",27.4326496,-81.4039317,23,75,18,289535,2.40160106737825,2.39934932899553,1
